reviewSorter	reviewCode	comparisonNo	outcomeNo	subGroupNo	subGroupNo_old	study	year	n1	N1	n2	N2	sorter	method	_merge	methods_string
1	cd000004	1	2	0	0	Blecher 1967	1967	25	80	22	80	1	4	3	RR Fixed (MH)
1	cd000004	1	2	0	0	Varma 1973	1973	37	70	42	70	1	4	3	RR Fixed (MH)
1	cd000004	1	5	0	0	Varma 1973	1973	18	70	58	70	2	4	3	RR Fixed (MH)
1	cd000004	1	5	0	0	Blecher 1967	1967	40	84	55	80	2	4	3	RR Fixed (MH)
1	cd000004	1	7	0	0	MacRae 1971	1971	1	28	2	28	3	4	3	RR Fixed (MH)
1	cd000004	1	7	0	0	Varma 1973	1973	2	70	8	70	3	4	3	RR Fixed (MH)
1	cd000004	1	7	0	0	Blecher 1967	1967	10	84	24	87	3	4	3	RR Fixed (MH)
2	cd000005	1	7	0	0	Van Dongen 1989	1989	3	44	7	45	4	1	3	peto OR
2	cd000005	1	7	0	0	Dargent 1990	1990	3	45	7	58	4	1	3	peto OR
2	cd000005	1	7	0	0	Villeneuve 1990	1990	4	98	6	102	4	1	3	peto OR
2	cd000005	1	8	0	0	Dargent 1990	1990	3	45	2	58	5	1	3	peto OR
2	cd000005	1	8	0	0	Van Dongen 1989	1989	10	44	9	45	5	1	3	peto OR
3	cd000006	1	1	1	1	Banninger 1978	1978	14	80	29	73	6	1	3	peto OR
3	cd000006	1	1	1	1	Roberts 1983	1983	23	88	29	84	6	1	3	peto OR
3	cd000006	1	1	1	1	Livingstone 1974	1974	39	50	48	50	6	1	3	peto OR
3	cd000006	1	1	1	1	Olah 1990	1990	48	60	56	60	6	1	3	peto OR
3	cd000006	1	1	1	1	Beard 1974	1974	64	100	72	100	6	1	3	peto OR
3	cd000006	1	1	1	1	Mahomed 1989	1989	130	270	134	253	6	1	3	peto OR
3	cd000006	1	1	1	1	Rogers 1974	1974	155	299	225	301	6	1	3	peto OR
3	cd000006	1	1	1	1	Mackrodt 1998	1998	523	886	591	888	6	1	3	peto OR
3	cd000006	1	1	2	2	Banninger 1978	1978	8	80	14	73	7	1	3	peto OR
3	cd000006	1	1	2	2	Olah 1990	1990	16	60	27	60	7	1	3	peto OR
3	cd000006	1	1	2	2	Mackrodt 1998	1998	208	884	257	887	7	1	3	peto OR
3	cd000006	1	2	0	0	Beard 1974	1974	21	100	36	100	8	1	3	peto OR
3	cd000006	1	2	0	0	Banninger 1978	1978	24	80	32	73	8	1	3	peto OR
3	cd000006	1	2	0	0	Roberts 1983	1983	32	88	49	84	8	1	3	peto OR
3	cd000006	1	2	0	0	Mackrodt 1998	1998	56	884	86	887	8	1	3	peto OR
3	cd000006	1	2	0	0	Mahomed 1989	1989	129	270	135	254	8	1	3	peto OR
3	cd000006	1	3	0	0	Livingstone 1974	1974	5	50	8	50	9	1	3	peto OR
3	cd000006	1	3	0	0	Mackrodt 1998	1998	5	884	7	887	9	1	3	peto OR
3	cd000006	1	3	0	0	Banninger 1978	1978	12	77	37	71	9	1	3	peto OR
3	cd000006	1	3	0	0	Beard 1974	1974	12	100	11	100	9	1	3	peto OR
3	cd000006	1	4	0	0	Banninger 1978	1978	0	80	2	73	10	1	3	peto OR
3	cd000006	1	4	0	0	Mahomed 1989	1989	0	232	3	233	10	1	3	peto OR
3	cd000006	1	4	0	0	Mackrodt 1998	1998	3	829	10	835	10	1	3	peto OR
3	cd000006	1	5	0	0	Mahomed 1989	1989	25	232	28	233	11	1	3	peto OR
3	cd000006	1	5	0	0	Mackrodt 1998	1998	67	829	84	835	11	1	3	peto OR
3	cd000006	1	6	0	0	Banninger 1978	1978	4	25	4	21	12	1	3	peto OR
3	cd000006	1	6	0	0	Mahomed 1989	1989	25	232	28	233	12	1	3	peto OR
3	cd000006	1	6	0	0	Mackrodt 1998	1998	142	829	148	835	12	1	3	peto OR
3	cd000006	1	7	0	0	Mahomed 1989	1989	94	232	48	233	13	1	3	peto OR
3	cd000006	1	7	0	0	Mackrodt 1998	1998	97	829	60	835	13	1	3	peto OR
4	cd000007	1	1	0	0	Dublin 1990	1990	14	705	60	724	14	4	3	RR Fixed (MH)
4	cd000007	1	1	0	0	Abu Dhabi 1997	1997	48	827	90	821	14	4	3	RR Fixed (MH)
4	cd000007	1	1	0	0	Bristol 1988	1988	50	846	152	849	14	4	3	RR Fixed (MH)
4	cd000007	1	1	0	0	Hinchingbrooke 1998	1998	51	748	126	764	14	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Dublin 1990	1990	1	705	11	724	15	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Abu Dhabi 1997	1997	6	827	26	821	15	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Bristol 1988	1988	7	846	26	849	15	4	3	RR Fixed (MH)
4	cd000007	1	2	0	0	Hinchingbrooke 1998	1998	13	748	20	764	15	4	3	RR Fixed (MH)
4	cd000007	1	4	0	0	Brighton 1993	1993	1	103	5	90	16	4	3	RR Fixed (MH)
4	cd000007	1	4	0	0	Dublin 1990	1990	2	618	8	645	16	4	3	RR Fixed (MH)
4	cd000007	1	4	0	0	Hinchingbrooke 1998	1998	22	702	68	718	16	4	3	RR Fixed (MH)
4	cd000007	1	4	0	0	Bristol 1988	1988	27	685	51	694	16	4	3	RR Fixed (MH)
4	cd000007	1	5	0	0	Brighton 1993	1993	1	103	0	90	17	4	3	RR Fixed (MH)
4	cd000007	1	5	0	0	Dublin 1990	1990	1	705	3	724	17	4	3	RR Fixed (MH)
4	cd000007	1	5	0	0	Abu Dhabi 1997	1997	1	827	4	821	17	4	3	RR Fixed (MH)
4	cd000007	1	5	0	0	Hinchingbrooke 1998	1998	4	748	20	764	17	4	3	RR Fixed (MH)
4	cd000007	1	5	0	0	Bristol 1988	1988	18	846	48	849	17	4	3	RR Fixed (MH)
4	cd000007	1	7	0	0	Brighton 1993	1993	1	103	7	90	18	4	3	RR Fixed (MH)
4	cd000007	1	7	0	0	Dublin 1990	1990	14	705	93	724	18	4	3	RR Fixed (MH)
4	cd000007	1	7	0	0	Abu Dhabi 1997	1997	19	827	42	821	18	4	3	RR Fixed (MH)
4	cd000007	1	7	0	0	Hinchingbrooke 1998	1998	24	748	161	764	18	4	3	RR Fixed (MH)
4	cd000007	1	7	0	0	Bristol 1988	1988	54	846	252	849	18	4	3	RR Fixed (MH)
4	cd000007	1	8	0	0	Bristol 1988	1988	27	846	337	849	19	4	3	RR Fixed (MH)
4	cd000007	1	8	0	0	Hinchingbrooke 1998	1998	33	748	247	765	19	4	3	RR Fixed (MH)
4	cd000007	1	8	0	0	Dublin 1990	1990	34	705	51	724	19	4	3	RR Fixed (MH)
4	cd000007	1	9	0	0	Hinchingbrooke 1998	1998	8	748	122	764	20	4	3	RR Fixed (MH)
4	cd000007	1	9	0	0	Bristol 1988	1988	19	846	162	849	20	4	3	RR Fixed (MH)
4	cd000007	1	9	0	0	Dublin 1990	1990	25	705	8	724	20	4	3	RR Fixed (MH)
4	cd000007	1	11	0	0	Brighton 1993	1993	1	103	0	90	21	4	3	RR Fixed (MH)
4	cd000007	1	11	0	0	Abu Dhabi 1997	1997	3	827	9	821	21	4	3	RR Fixed (MH)
4	cd000007	1	11	0	0	Hinchingbrooke 1998	1998	15	748	13	764	21	4	3	RR Fixed (MH)
4	cd000007	1	11	0	0	Bristol 1988	1988	16	846	22	849	21	4	3	RR Fixed (MH)
4	cd000007	1	11	0	0	Dublin 1990	1990	19	705	1	724	21	4	3	RR Fixed (MH)
4	cd000007	1	12	0	0	Dublin 1990	1990	2	705	8	724	22	4	3	RR Fixed (MH)
4	cd000007	1	12	0	0	Hinchingbrooke 1998	1998	9	748	6	764	22	4	3	RR Fixed (MH)
4	cd000007	1	12	0	0	Bristol 1988	1988	11	846	16	849	22	4	3	RR Fixed (MH)
4	cd000007	1	13	0	0	Hinchingbrooke 1998	1998	6	748	1	764	23	4	3	RR Fixed (MH)
4	cd000007	1	13	0	0	Dublin 1990	1990	9	705	0	724	23	4	3	RR Fixed (MH)
4	cd000007	1	13	0	0	Bristol 1988	1988	17	846	8	849	23	4	3	RR Fixed (MH)
4	cd000007	1	14	0	0	Dublin 1990	1990	10	86	2	114	24	4	3	RR Fixed (MH)
4	cd000007	1	14	0	0	Hinchingbrooke 1998	1998	47	748	17	764	24	4	3	RR Fixed (MH)
4	cd000007	1	14	0	0	Bristol 1988	1988	102	846	55	849	24	4	3	RR Fixed (MH)
4	cd000007	1	15	0	0	Dublin 1990	1990	20	86	10	114	25	4	3	RR Fixed (MH)
4	cd000007	1	15	0	0	Hinchingbrooke 1998	1998	86	748	45	764	25	4	3	RR Fixed (MH)
4	cd000007	1	15	0	0	Bristol 1988	1988	141	846	84	849	25	4	3	RR Fixed (MH)
4	cd000007	1	16	0	0	Hinchingbrooke 1998	1998	5	746	3	764	26	4	3	RR Fixed (MH)
4	cd000007	1	16	0	0	Dublin 1990	1990	6	86	2	114	26	4	3	RR Fixed (MH)
4	cd000007	1	16	0	0	Bristol 1988	1988	13	846	8	849	26	4	3	RR Fixed (MH)
4	cd000007	1	17	0	0	Dublin 1990	1990	8	86	3	114	27	4	3	RR Fixed (MH)
4	cd000007	1	17	0	0	Bristol 1988	1988	9	93	16	98	27	4	3	RR Fixed (MH)
4	cd000007	1	19	0	0	Bristol 1988	1988	6	846	18	849	28	4	3	RR Fixed (MH)
4	cd000007	1	19	0	0	Dublin 1990	1990	14	705	5	724	28	4	3	RR Fixed (MH)
4	cd000007	1	23	0	0	Hinchingbrooke 1998	1998	20	748	20	764	29	4	3	RR Fixed (MH)
4	cd000007	1	23	0	0	Bristol 1988	1988	48	846	64	849	29	4	3	RR Fixed (MH)
4	cd000007	1	24	0	0	Hinchingbrooke 1998	1998	32	716	25	731	30	4	3	RR Fixed (MH)
4	cd000007	1	24	0	0	Bristol 1988	1988	39	846	54	849	30	4	3	RR Fixed (MH)
4	cd000007	1	25	0	0	Hinchingbrooke 1998	1998	162	716	189	731	31	4	3	RR Fixed (MH)
4	cd000007	1	25	0	0	Bristol 1988	1988	209	846	217	849	31	4	3	RR Fixed (MH)
4	cd000007	2	1	0	0	Dublin 1990	1990	14	705	60	724	32	4	3	RR Fixed (MH)
4	cd000007	2	1	0	0	Bristol 1988	1988	15	340	54	335	32	4	3	RR Fixed (MH)
4	cd000007	2	1	0	0	Hinchingbrooke 1998	1998	51	748	126	764	32	4	3	RR Fixed (MH)
4	cd000007	2	2	0	0	Dublin 1990	1990	1	705	11	724	33	4	3	RR Fixed (MH)
4	cd000007	2	2	0	0	Bristol 1988	1988	4	340	8	335	33	4	3	RR Fixed (MH)
4	cd000007	2	2	0	0	Hinchingbrooke 1998	1998	13	748	20	764	33	4	3	RR Fixed (MH)
4	cd000007	2	4	0	0	Brighton 1993	1993	1	103	5	90	34	4	3	RR Fixed (MH)
4	cd000007	2	4	0	0	Dublin 1990	1990	2	618	8	645	34	4	3	RR Fixed (MH)
4	cd000007	2	4	0	0	Bristol 1988	1988	3	266	16	274	34	4	3	RR Fixed (MH)
4	cd000007	2	4	0	0	Hinchingbrooke 1998	1998	22	702	68	719	34	4	3	RR Fixed (MH)
4	cd000007	2	5	0	0	Brighton 1993	1993	1	103	0	90	35	4	3	RR Fixed (MH)
4	cd000007	2	5	0	0	Dublin 1990	1990	1	705	3	724	35	4	3	RR Fixed (MH)
4	cd000007	2	5	0	0	Bristol 1988	1988	3	340	12	335	35	4	3	RR Fixed (MH)
4	cd000007	2	5	0	0	Hinchingbrooke 1998	1998	4	748	20	764	35	4	3	RR Fixed (MH)
4	cd000007	2	7	0	0	Brighton 1993	1993	1	103	7	90	36	4	3	RR Fixed (MH)
4	cd000007	2	7	0	0	Dublin 1990	1990	14	705	93	724	36	4	3	RR Fixed (MH)
4	cd000007	2	7	0	0	Bristol 1988	1988	15	340	88	335	36	4	3	RR Fixed (MH)
4	cd000007	2	7	0	0	Hinchingbrooke 1998	1998	24	748	161	764	36	4	3	RR Fixed (MH)
4	cd000007	2	8	0	0	Bristol 1988	1988	9	340	123	335	37	4	3	RR Fixed (MH)
4	cd000007	2	8	0	0	Hinchingbrooke 1998	1998	33	748	247	765	37	4	3	RR Fixed (MH)
4	cd000007	2	8	0	0	Dublin 1990	1990	34	705	51	724	37	4	3	RR Fixed (MH)
4	cd000007	2	9	0	0	Bristol 1988	1988	5	340	63	335	38	4	3	RR Fixed (MH)
4	cd000007	2	9	0	0	Hinchingbrooke 1998	1998	8	748	122	764	38	4	3	RR Fixed (MH)
4	cd000007	2	9	0	0	Dublin 1990	1990	25	705	8	724	38	4	3	RR Fixed (MH)
4	cd000007	2	11	0	0	Brighton 1993	1993	1	103	0	90	39	4	3	RR Fixed (MH)
4	cd000007	2	11	0	0	Bristol 1988	1988	4	340	5	335	39	4	3	RR Fixed (MH)
4	cd000007	2	11	0	0	Hinchingbrooke 1998	1998	15	748	13	764	39	4	3	RR Fixed (MH)
4	cd000007	2	11	0	0	Dublin 1990	1990	19	705	1	724	39	4	3	RR Fixed (MH)
4	cd000007	2	12	0	0	Bristol 1988	1988	2	340	4	335	40	4	3	RR Fixed (MH)
4	cd000007	2	12	0	0	Dublin 1990	1990	2	705	8	724	40	4	3	RR Fixed (MH)
4	cd000007	2	12	0	0	Hinchingbrooke 1998	1998	9	748	6	764	40	4	3	RR Fixed (MH)
4	cd000007	2	13	0	0	Bristol 1988	1988	3	340	0	335	41	4	3	RR Fixed (MH)
4	cd000007	2	13	0	0	Hinchingbrooke 1998	1998	6	748	1	764	41	4	3	RR Fixed (MH)
4	cd000007	2	13	0	0	Dublin 1990	1990	9	705	0	724	41	4	3	RR Fixed (MH)
4	cd000007	2	14	0	0	Dublin 1990	1990	10	86	2	114	42	4	3	RR Fixed (MH)
4	cd000007	2	14	0	0	Bristol 1988	1988	18	340	16	335	42	4	3	RR Fixed (MH)
4	cd000007	2	14	0	0	Hinchingbrooke 1998	1998	47	748	17	764	42	4	3	RR Fixed (MH)
4	cd000007	2	15	0	0	Dublin 1990	1990	20	86	10	114	43	4	3	RR Fixed (MH)
4	cd000007	2	15	0	0	Bristol 1988	1988	30	340	21	335	43	4	3	RR Fixed (MH)
4	cd000007	2	15	0	0	Hinchingbrooke 1998	1998	86	748	45	764	43	4	3	RR Fixed (MH)
4	cd000007	2	16	0	0	Bristol 1988	1988	4	340	2	335	44	4	3	RR Fixed (MH)
4	cd000007	2	16	0	0	Hinchingbrooke 1998	1998	5	746	3	764	44	4	3	RR Fixed (MH)
4	cd000007	2	16	0	0	Dublin 1990	1990	6	86	2	114	44	4	3	RR Fixed (MH)
4	cd000007	2	19	0	0	Bristol 1988	1988	1	340	8	335	45	4	3	RR Fixed (MH)
4	cd000007	2	19	0	0	Dublin 1990	1990	14	705	5	724	45	4	3	RR Fixed (MH)
4	cd000007	2	23	0	0	Bristol 1988	1988	15	339	19	334	46	4	3	RR Fixed (MH)
4	cd000007	2	23	0	0	Hinchingbrooke 1998	1998	20	716	20	731	46	4	3	RR Fixed (MH)
4	cd000007	2	24	0	0	Bristol 1988	1988	13	339	15	333	47	4	3	RR Fixed (MH)
4	cd000007	2	24	0	0	Hinchingbrooke 1998	1998	32	716	25	731	47	4	3	RR Fixed (MH)
4	cd000007	2	25	0	0	Bristol 1988	1988	98	340	90	335	48	4	3	RR Fixed (MH)
4	cd000007	2	25	0	0	Hinchingbrooke 1998	1998	162	716	189	731	48	4	3	RR Fixed (MH)
6	cd000009	1	1	0	0	Parker 1977a	1977	0	11	1	10	49	1	3	peto OR
6	cd000009	1	1	0	0	Steiner 1982	1982	1	16	1	16	49	1	3	peto OR
6	cd000009	1	1	0	0	Parker 1977b	1977	3	10	2	10	49	1	3	peto OR
6	cd000009	1	1	0	0	He 1997	1997	7	26	0	20	49	1	3	peto OR
6	cd000009	1	1	0	0	Martin 1981b	1981	7	65	8	69	49	1	3	peto OR
6	cd000009	1	1	0	0	Gillams 1984	1984	9	28	8	27	49	1	3	peto OR
6	cd000009	1	1	0	0	Martin 1981a	1981	10	63	9	63	49	1	3	peto OR
6	cd000009	1	1	0	0	White 1998	1998	15	38	16	38	49	1	3	peto OR
6	cd000009	1	1	0	0	Gilbey 1977	1977	16	44	16	48	49	1	3	peto OR
6	cd000009	1	1	0	0	Lagrue 1977	1977	35	79	30	75	49	1	3	peto OR
6	cd000009	1	1	0	0	Lacroix 1977	1977	45	61	16	56	49	1	3	peto OR
6	cd000009	1	1	0	0	Clavel 1990	1990	48	272	50	243	49	1	3	peto OR
6	cd000009	1	1	0	0	Vandevenne 1985	1985	65	108	50	92	49	1	3	peto OR
6	cd000009	1	1	0	0	Clavel 1990 +NG	1997	71	268	55	213	49	1	3	peto OR
6	cd000009	1	2	0	0	White 1998	1998	1	38	2	38	50	1	3	peto OR
6	cd000009	1	2	0	0	Lamontagne 1980	1980	2	25	4	25	50	1	3	peto OR
6	cd000009	1	2	0	0	Martin 1981a	1981	3	63	6	63	50	1	3	peto OR
6	cd000009	1	2	0	0	He 1997	1997	5	26	0	20	50	1	3	peto OR
6	cd000009	1	2	0	0	Gillams 1984	1984	5	28	4	27	50	1	3	peto OR
6	cd000009	1	2	0	0	Waite 1998	1998	5	40	0	38	50	1	3	peto OR
6	cd000009	1	2	0	0	Martin 1981b	1981	5	65	2	69	50	1	3	peto OR
6	cd000009	1	2	0	0	Vandevenne 1985	1985	49	108	32	92	50	1	3	peto OR
6	cd000009	1	3	0	0	He 1997	1997	4	22	0	16	51	1	3	peto OR
6	cd000009	1	3	0	0	Clavel 1990	1990	17	272	25	243	51	1	3	peto OR
6	cd000009	1	3	0	0	Clavel 1990 +NG	1997	30	268	21	213	51	1	3	peto OR
6	cd000009	1	3	0	0	Vandevenne 1985	1985	43	108	29	92	51	1	3	peto OR
6	cd000009	2	1	0	0	Gillams 1984	1984	9	28	6	26	52	1	3	peto OR
6	cd000009	2	1	0	0	Circo 1985	1985	18	30	17	30	52	1	3	peto OR
6	cd000009	2	1	0	0	Leung 1991	1991	22	32	18	32	52	1	3	peto OR
6	cd000009	2	1	0	0	Cottraux 1983	1983	30	140	39	138	52	1	3	peto OR
6	cd000009	2	1	0	0	Clavel 1985	1985	43	224	46	205	52	1	3	peto OR
6	cd000009	2	1	0	0	Clavel 1990	1990	48	272	55	213	52	1	3	peto OR
6	cd000009	2	2	0	0	Leung 1991	1991	4	32	9	32	53	1	3	peto OR
6	cd000009	2	2	0	0	Gillams 1984	1984	5	28	3	26	53	1	3	peto OR
6	cd000009	2	2	0	0	Cottraux 1983	1983	21	140	15	138	53	1	3	peto OR
6	cd000009	2	3	0	0	Labadie 1983	1983	13	65	15	65	54	1	3	peto OR
6	cd000009	2	3	0	0	Clavel 1985	1985	17	224	24	205	54	1	3	peto OR
6	cd000009	2	3	0	0	Clavel 1990 +NG	1997	17	272	21	213	54	1	3	peto OR
6	cd000009	2	3	0	0	Cottraux 1983	1983	21	140	19	140	54	1	3	peto OR
6	cd000009	3	1	0	0	Lamontagne 1980	1980	7	25	5	25	55	1	3	peto OR
6	cd000009	3	1	0	0	Leung 1991	1991	22	32	2	31	55	1	3	peto OR
6	cd000009	3	2	0	0	Lamontagne 1980	1980	2	25	5	25	56	1	3	peto OR
6	cd000009	3	2	0	0	Leung 1991	1991	4	32	1	31	56	1	3	peto OR
6	cd000009	11	1	0	0	Steiner 1982	1982	1	16	1	16	57	1	3	peto OR
6	cd000009	11	1	0	0	Cottraux 1983	1983	30	140	27	139	57	1	3	peto OR
6	cd000009	11	1	0	0	Lagrue 1977	1977	35	79	30	75	57	1	3	peto OR
6	cd000009	11	1	0	0	Clavel 1985	1985	43	224	46	205	57	1	3	peto OR
6	cd000009	11	1	0	0	Lacroix 1977	1977	45	61	16	56	57	1	3	peto OR
6	cd000009	11	1	0	0	Clavel 1990	1990	119	540	105	456	57	1	3	peto OR
6	cd000009	11	3	0	0	Clavel 1985	1985	17	224	24	205	58	1	3	peto OR
6	cd000009	11	3	0	0	Cottraux 1983	1983	21	140	19	140	58	1	3	peto OR
6	cd000009	11	3	0	0	Clavel 1990	1990	45	540	46	456	58	1	3	peto OR
6	cd000009	11	4	0	0	Parker 1977a	1977	0	11	1	10	59	1	3	peto OR
6	cd000009	11	4	0	0	Parker 1977b	1977	3	10	2	10	59	1	3	peto OR
6	cd000009	11	4	0	0	Martin 1981b	1981	7	65	8	69	59	1	3	peto OR
6	cd000009	11	4	0	0	Gillams 1984	1984	9	28	8	27	59	1	3	peto OR
6	cd000009	11	4	0	0	Martin 1981a	1981	10	63	9	63	59	1	3	peto OR
6	cd000009	11	4	0	0	White 1998	1998	15	38	16	38	59	1	3	peto OR
6	cd000009	11	4	0	0	Gilbey 1977	1977	16	44	16	48	59	1	3	peto OR
6	cd000009	11	4	0	0	Circo 1985	1985	17	30	18	30	59	1	3	peto OR
6	cd000009	11	4	0	0	Leung 1991	1991	22	32	18	32	59	1	3	peto OR
6	cd000009	11	5	0	0	White 1998	1998	1	38	2	38	60	1	3	peto OR
6	cd000009	11	5	0	0	Martin 1981a	1981	3	63	6	63	60	1	3	peto OR
6	cd000009	11	5	0	0	Leung 1991	1991	4	32	9	32	60	1	3	peto OR
6	cd000009	11	5	0	0	Gillams 1984	1984	5	28	4	27	60	1	3	peto OR
6	cd000009	11	5	0	0	Waite 1998	1998	5	40	0	38	60	1	3	peto OR
6	cd000009	11	5	0	0	Martin 1981b	1981	5	65	2	69	60	1	3	peto OR
7	cd000010	5	2	1	1	Zwarenstein 1998a	1998	60	111	63	105	61	4	3	RR Fixed (MH)
7	cd000010	5	2	1	2	Kamolratanakul 1999	1999	347	414	320	422	61	4	3	RR Fixed (MH)
7	cd000010	9	1	1	3	Sanmarti 1993	1993	64	82	55	77	62	4	3	RR Fixed (MH)
7	cd000010	9	1	1	2	Sanmarti 1993	1993	75	79	55	77	62	4	3	RR Fixed (MH)
7	cd000010	9	1	1	1	Sanmarti 1993	1993	75	80	55	77	62	4	3	RR Fixed (MH)
7	cd000010	9	2	1	3	Sanmarti 1993	1993	61	82	43	77	63	4	3	RR Fixed (MH)
7	cd000010	9	2	1	1	Sanmarti 1993	1993	68	80	43	77	63	4	3	RR Fixed (MH)
7	cd000010	9	2	1	2	Sanmarti 1993	1993	71	79	43	77	63	4	3	RR Fixed (MH)
7	cd000010	11	1	0	0	Pilote 1996	1996	69	82	42	79	64	4	3	RR Fixed (MH)
7	cd000010	11	1	0	0	Malotte 1998	1998	175	204	33	100	64	4	3	RR Fixed (MH)
8	cd000012	1	2	0	0	Byrne 2000	2000	20	100	25	200	65	5	3	RR Random (based on MH Fixed)
8	cd000012	1	2	0	0	Waldenstrom 1997	1997	25	912	42	916	65	5	3	RR Random (based on MH Fixed)
8	cd000012	1	2	0	0	MacVicar 1993	1993	218	2304	131	1206	65	5	3	RR Random (based on MH Fixed)
8	cd000012	1	2	0	0	Hundley 1994	1994	385	1900	181	944	65	5	3	RR Random (based on MH Fixed)
8	cd000012	1	3	0	0	Klein 1984	1984	17	56	16	58	66	4	3	RR Fixed (MH)
8	cd000012	1	3	0	0	Byrne 2000	2000	40	100	47	100	66	4	3	RR Fixed (MH)
8	cd000012	1	3	0	0	Waldenstrom 1997	1997	160	895	264	894	66	4	3	RR Fixed (MH)
8	cd000012	1	3	0	0	MacVicar 1993	1993	270	2304	192	1206	66	4	3	RR Fixed (MH)
8	cd000012	1	3	0	0	Hundley 1994	1994	274	1900	135	944	66	4	3	RR Fixed (MH)
8	cd000012	1	4	0	0	Hundley 1994	1994	251	1900	129	944	67	4	3	RR Fixed (MH)
8	cd000012	1	4	0	0	MacVicar 1993	1993	322	2304	166	1206	67	4	3	RR Fixed (MH)
8	cd000012	1	5	0	0	Hundley 1994	1994	336	1900	205	944	68	4	3	RR Fixed (MH)
8	cd000012	1	5	0	0	MacVicar 1993	1993	480	2304	336	1206	68	4	3	RR Fixed (MH)
8	cd000012	1	6	0	0	Hundley 1994	1994	57	1900	20	944	69	4	3	RR Fixed (MH)
8	cd000012	1	6	0	0	MacVicar 1993	1993	267	2304	132	1206	69	4	3	RR Fixed (MH)
8	cd000012	1	7	0	0	Hundley 1994	1994	94	1900	47	944	70	5	3	RR Random (based on MH Fixed)
8	cd000012	1	7	0	0	MacVicar 1993	1993	177	2304	99	1206	70	5	3	RR Random (based on MH Fixed)
8	cd000012	1	8	0	0	Chapman 1986	1986	4	76	9	74	71	5	3	RR Random (based on MH Fixed)
8	cd000012	1	8	0	0	Byrne 2000	2000	33	100	29	100	71	5	3	RR Random (based on MH Fixed)
8	cd000012	1	8	0	0	Waldenstrom 1997	1997	33	912	120	916	71	5	3	RR Random (based on MH Fixed)
8	cd000012	1	8	0	0	MacVicar 1993	1993	812	2304	477	1206	71	5	3	RR Random (based on MH Fixed)
8	cd000012	1	8	0	0	Hundley 1994	1994	1063	1900	498	944	71	5	3	RR Random (based on MH Fixed)
8	cd000012	1	9	0	0	Chapman 1986	1986	19	76	27	74	72	4	3	RR Fixed (MH)
8	cd000012	1	9	0	0	Byrne 2000	2000	51	100	55	100	72	4	3	RR Fixed (MH)
8	cd000012	1	9	0	0	Waldenstrom 1997	1997	128	912	417	916	72	4	3	RR Fixed (MH)
8	cd000012	1	9	0	0	MacVicar 1993	1993	654	2304	240	1206	72	4	3	RR Fixed (MH)
8	cd000012	1	9	0	0	Hundley 1994	1994	1408	1900	657	944	72	4	3	RR Fixed (MH)
8	cd000012	1	10	0	0	Chapman 1986	1986	3	76	6	74	73	5	3	RR Random (based on MH Fixed)
8	cd000012	1	10	0	0	Klein 1984	1984	14	56	15	58	73	5	3	RR Random (based on MH Fixed)
8	cd000012	1	10	0	0	Byrne 2000	2000	37	100	48	100	73	5	3	RR Random (based on MH Fixed)
8	cd000012	1	10	0	0	Waldenstrom 1997	1997	108	912	135	916	73	5	3	RR Random (based on MH Fixed)
8	cd000012	1	10	0	0	Hundley 1994	1994	246	1900	140	944	73	5	3	RR Random (based on MH Fixed)
8	cd000012	1	10	0	0	MacVicar 1993	1993	326	2304	208	1206	73	5	3	RR Random (based on MH Fixed)
8	cd000012	1	11	0	0	Chapman 1986	1986	45	76	57	74	74	4	3	RR Fixed (MH)
8	cd000012	1	11	0	0	Byrne 2000	2000	68	100	74	100	74	4	3	RR Fixed (MH)
8	cd000012	1	11	0	0	Hundley 1994	1994	886	1900	546	944	74	4	3	RR Fixed (MH)
8	cd000012	1	11	0	0	MacVicar 1993	1993	2004	2304	1061	1206	74	4	3	RR Fixed (MH)
8	cd000012	1	13	0	0	Chapman 1986	1986	1	76	0	74	75	4	3	RR Fixed (MH)
8	cd000012	1	13	0	0	Byrne 2000	2000	16	100	17	100	75	4	3	RR Fixed (MH)
8	cd000012	1	13	0	0	Klein 1984	1984	18	56	22	58	75	4	3	RR Fixed (MH)
8	cd000012	1	13	0	0	Waldenstrom 1997	1997	36	912	41	916	75	4	3	RR Fixed (MH)
8	cd000012	1	13	0	0	MacVicar 1993	1993	187	2304	114	1206	75	4	3	RR Fixed (MH)
8	cd000012	1	13	0	0	Hundley 1994	1994	221	1900	122	944	75	4	3	RR Fixed (MH)
8	cd000012	1	15	0	0	Klein 1984	1984	2	56	2	58	76	5	3	RR Random (based on MH Fixed)
8	cd000012	1	15	0	0	Chapman 1986	1986	3	76	4	74	76	5	3	RR Random (based on MH Fixed)
8	cd000012	1	15	0	0	Byrne 2000	2000	9	100	14	100	76	5	3	RR Random (based on MH Fixed)
8	cd000012	1	15	0	0	Waldenstrom 1997	1997	65	912	82	916	76	5	3	RR Random (based on MH Fixed)
8	cd000012	1	15	0	0	MacVicar 1993	1993	144	2304	78	1206	76	5	3	RR Random (based on MH Fixed)
8	cd000012	1	15	0	0	Hundley 1994	1994	153	1900	91	944	76	5	3	RR Random (based on MH Fixed)
